date,close,volume,open,high,low
16:00,310.42,"12,930,726",319.93,320.9845,294.76
2018/02/09,310.42,12924430,319.93,320.9845,294.76
2018/02/08,315.23,10296420,343.31,348.62,314.6
2018/02/07,345,6729682,338.99,346,335.66
2018/02/06,333.97,5080032,325.21,336.22,323.5
2018/02/05,333.13,4441166,337.97,344.47,333
2018/02/02,343.75,3696157,348.44,351.95,340.51
2018/02/01,349.25,4187440,351,359.66,348.63
2018/01/31,354.31,6199373,347.51,356.19,345.19
2018/01/30,345.82,4710684,345.14,348.27,342.17
2018/01/29,349.53,4738208,339.85,350.85,338.28
2018/01/26,342.85,4535457,341.5,344,335.71
2018/01/25,337.64,6725208,348.27,349.2,336.4
2018/01/24,345.89,5277386,354.58,354.75,343.52
2018/01/23,352.79,5447622,360,360.5,351
2018/01/22,351.56,6199777,349.4,357.83,349.2
2018/01/19,350.02,4871181,345,350.5899,342.6
2018/01/18,344.57,5679629,345.67,352.3,343.74
2018/01/17,347.16,7092554,340.47,349,339.75
2018/01/16,340.06,6429234,337.54,345,334.8
2018/01/12,336.22,4822509,338.63,340.41,333.67
2018/01/11,337.95,6640863,335.24,344.8099,333.26
2018/01/10,334.8,4303053,332.2,337,330
2018/01/09,333.69,7134525,335.16,338.8,327.405
2018/01/08,336.41,9832610,316,337.0199,315.5
2018/01/05,316.58,4588728,316.62,317.24,312
2018/01/04,314.62,9944593,312.87,318.55,305.68
2018/01/03,317.25,4438520,321,325.25,315.55
2018/01/02,320.53,4345615,312,322.1099,311
2017/12/29,311.35,3769504,316.18,316.41,310
2017/12/28,315.36,4306746,311.75,315.82,309.54
2017/12/27,311.64,4705084,316,317.68,310.75
2017/12/26,317.29,4368699,323.83,323.94,316.58
2017/12/22,325.2,4207602,329.51,330.9214,324.82
2017/12/21,331.66,4369994,329.59,333.74,327.21
2017/12/20,328.98,5907378,332.69,333.1,325.04
2017/12/19,331.1,6820868,340.26,341.4925,330.3
2017/12/18,338.87,5466546,344.9,346.73,337.58
2017/12/15,343.45,6921246,342.04,343.9,335.76
2017/12/14,337.89,5792024,341.01,347.44,336.9
2017/12/13,339.03,6217701,340.93,344.22,336.5
2017/12/12,341.03,8715570,330.45,341.44,330.03
2017/12/11,328.91,7926090,314.63,329.01,313.75
2017/12/08,315.13,3466088,314.6,316.98,311.26
2017/12/07,311.24,4779590,312,318.6341,311.05
2017/12/06,313.26,7184477,300.1,313.39,300
2017/12/05,303.7,4643708,302,308,301
2017/12/04,305.2,5834227,306.5,308.265,300.61
2017/12/01,306.53,4286082,305.44,310.32,305.05
2017/11/30,308.85,4345434,308.56,310.7,304.54
2017/11/29,307.54,8757463,317.3,318,301.23
2017/11/28,317.55,4941703,316.36,320,313.92
2017/11/27,316.81,4537779,313.25,317.34,309.51
2017/11/24,315.55,3244065,313.79,316.41,311
2017/11/22,312.6,4913283,316.77,317.42,311.84
2017/11/21,317.81,7256381,310.86,318.23,308.71
2017/11/20,308.74,8241821,313.79,315.5,304.75
2017/11/17,315.05,13720830,325.67,326.67,313.15
2017/11/16,312.5,5794409,313.99,318.14,311.3
2017/11/15,311.3,5951835,306.01,312.49,301.5
2017/11/14,308.7,5661904,315,316.35,306.9
2017/11/13,315.4,7565242,300.13,316.8,299.11
2017/11/10,302.99,4621080,302.5,308.36,301.85
2017/11/09,302.99,5440173,302.5,304.46,296.3
